FILEID,STUSAB,SUMLEVEL,COMPONENT,LOGRECNO,US,REGION,DIVISION,STATECE,STATE,COUNTY,COUSUB,PLACE,TRACT,BLKGRP,CONCIT,AIANHH,AIANHHFP,AIHHTLI,AITSCE,AITS,ANRC,CBSA,CSA,METDIV,MACC,MEMI,NECTA,CNECTA,NECTADIV,UA,BLANK,CDCURR,SLDU,SLDL,BLANK,BLANK,ZCTA5,SUBMCD,SDELM,SDSEC,SDUNI,UR,PCI,BLANK,BLANK,PUMA5,BLANK,GEOID,NAME,BTTR,BTBG,BLANK
ACSSF,WA,795,0,78,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10503,,79500US5310503,"Spokane County (East Central)--Greater Spokane Valley City PUMA, Washington",,,
ACSSF,WA,795,0,79,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10504,,79500US5310504,"Spokane County (Outer)--Cheney City PUMA, Washington",,,
ACSSF,WA,795,0,80,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600,,79500US5310600,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington",,,
ACSSF,WA,795,0,81,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10701,,79500US5310701,"Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities PUMA; Washington",,,
ACSSF,WA,795,0,82,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10702,,79500US5310702,"Benton County (East Central)--Kennewick & Richland (South) Cities PUMA, Washington",,,
ACSSF,WA,795,0,83,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10703,,79500US5310703,"Walla Walla, Benton (Outer) & Franklin (Outer) Counties PUMA; Washington",,,
ACSSF,WA,795,0,84,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,,79500US5310800,"Grant & Kittitas Counties PUMA, Washington",,,
ACSSF,WA,795,0,85,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10901,,79500US5310901,"Yakima County (Central)--Greater Yakima City PUMA, Washington",,,
ACSSF,WA,795,0,86,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10902,,79500US5310902,"Yakima County (Outer)--Sunnyside & Grandview Cities PUMA, Washington",,,
ACSSF,WA,795,0,87,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,,79500US5311000,"Lewis, Klickitat & Skamania Counties PUMA; Washington",,,
ACSSF,WA,795,0,88,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11101,,79500US5311101,"Clark County (Southwest)--Vancouver City (West & Central) PUMA, Washington",,,
ACSSF,WA,795,0,89,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11102,,79500US5311102,"Clark County (West Central)--Salmon Creek & Hazel Dell PUMA, Washington",,,
ACSSF,WA,795,0,90,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11103,,79500US5311103,"Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities PUMA; Washington",,,
ACSSF,WA,795,0,91,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11104,,79500US5311104,"Clark County (North)--Battle Ground City & Orchards PUMA, Washington",,,
ACSSF,WA,795,0,92,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11200,,79500US5311200,"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington",,,
ACSSF,WA,795,0,93,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300,,79500US5311300,"Grays Harbor & Mason Counties PUMA, Washington",,,
ACSSF,WA,795,0,94,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11401,,79500US5311401,"Thurston County (Central)--Olympia, Lacey & Tumwater Cities PUMA; Washington",,,
ACSSF,WA,795,0,95,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11402,,79500US5311402,"Thurston County (Outer) PUMA, Washington",,,
ACSSF,WA,795,0,96,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11501,,79500US5311501,"Pierce County (Central)--Tacoma City (Central) PUMA, Washington",,,
ACSSF,WA,795,0,97,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11502,,79500US5311502,"Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA, Washington",,,
ACSSF,WA,795,0,98,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11503,,79500US5311503,"Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA, Washington",,,
ACSSF,WA,795,0,99,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11504,,79500US5311504,"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA; Washington",,,
ACSSF,WA,795,0,100,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11505,,79500US5311505,"Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA, Washington",,,
ACSSF,WA,795,0,101,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11506,,79500US5311506,"Pierce County (East Central)--Puyallup City & South Hill PUMA, Washington",,,
ACSSF,WA,795,0,102,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11507,,79500US5311507,"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA; Washington",,,
ACSSF,WA,795,0,103,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11601,,79500US5311601,"Seattle City (Northwest) PUMA, Washington",,,
ACSSF,WA,795,0,104,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11602,,79500US5311602,"Seattle City (Northeast) PUMA, Washington",,,
ACSSF,WA,795,0,105,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11603,,79500US5311603,"Seattle City (Downtown)--Queen Anne & Magnolia PUMA, Washington",,,
