OID,IDTRSD,TreeSpecie,TreeDBH
444,08S2612WL,RED FIR,30
445,08S2613EL,YELLOW PINE,30
446,08S2613WL,YELLOW PINE,42
447,08S2634WL,YELLOW PINE,36
448,08S2705WL,PINE,36
449,08S2718NL,PINE,30
450,08S2620WL,YELLOW PINE,24
451,08S2623NL,YELLOW PINE,7
452,08S2623WL,YELLOW PINE,40
453,08S2625EL,YELLOW PINE,18
454,08S3131WL,YELLOW PINE,36
455,08S3206NL,YELLOW PINE,48
456,08S3222NL,BLACK PINE,10
457,08S3222WL,SPRUCE,12
458,08S3223WL,PINE,30
459,08S3226WL,FIR,24
460,08S3227WL,PINE,36
461,08S3234WL,PINE,16
462,08S3235WL,PINE,30
463,08S3315WL,PINE,8
464,08S3318WL,FIR,40
465,08S3322WL,PINE,12
466,08S3323WL,FIR,16
467,08S3325WL,WESTERN LARCH,14
468,08S3326NL,WESTERN LARCH,30
469,08S3401WL,FIR,20
470,08S3409WL,FIR,30
471,08S3418NL,SPRUCE,25
472,08S3421WL,FIR,28
473,08S3426NL,FIR,24
474,08S3428WL,WESTERN LARCH,30
475,08S3510WL,PINE,14
476,08S3511WL,FIR,18
477,08S3512WL,WESTERN LARCH,18
478,08S3513WL,FIR,36
479,08S3521NL,PINE,18
480,08S3522WL,WESTERN LARCH,20
481,08S3524NL,WESTERN LARCH,24
482,08S3525NL,PINE,32
483,08S3525WL,WESTERN LARCH,30
484,08S3526NL,FIR,26
485,08S3534WL,WESTERN LARCH,22
486,09N4135WL,RED FIR,24
487,09N4124NL,FIR,24
488,09N4001EL,PINE,12
489,09N4124WL,PINE,30
490,09N4126WL,PINE,24
491,09N4127NL,RED FIR,36
492,09N4133NL,PINE,14
493,09N4134WL,PINE,8
494,09N4319WL,PINE,36
495,09N4320WL,PINE,30
496,09N4322WL,PINE,18
497,09N4330WL,PINE,36
498,09S3219WL,YELLOW PINE,48
499,09S3231WL,PINE,40
500,09S3309WL,WESTERN LARCH,14
501,09S3316WL,PINE,18
502,09S3317WL,PINE,36
503,09S3319NL,PINE,30
504,09S3319WL,PINE,38
505,09S3330WL,PINE,24
506,09S3408WL,FIR,24
507,09S3413WL,WESTERN LARCH,24
508,09S3423NL,WESTERN LARCH,18
509,09S3423WL,FIR,18
510,09S3424WL,WESTERN LARCH,14
511,09S3426WL,FIR,24
512,09S3433NL,SPRUCE,18
513,09S3434NL,FIR,30
514,09S3510NL,PINE,32
515,09S3524WL,WESTERN LARCH,26
516,09S3525NL,FIR,30
517,09S3526NL,FIR,36
518,09S3527WL,WESTERN LARCH,24
