OID,IDTRSD,TreeSpecie,TreeDia,TreeDist
421,01S3631N,PINE,10,27
422,01S3631NW,FIR,24,26
423,01S3631W,FIR,12,7
424,01S3632N,FIR,8,43
425,01S3632NW,FIR,12,44
426,01S3632W,PINE,10,24
427,01S3633N,PINE,20,30
428,01S3633NW,PINE,8,57
429,01S3633W,WESTERN LARCH,9,9
430,01S3634N,PINE,4,34
431,01S3634NW,PINE,13,62
432,01S3634W,WESTERN LARCH,5,9
433,01S3635NW,FIR,4,17
434,01S3635W,PINE,22,9
435,01S3636NE,PINE,8,43
436,01S3636W,FIR,4,12
437,01S3701NW,FIR,18,20
438,01S3702NW,PINE,15,109
439,01S3702W,PINE,5,42
440,01S3703NW,FIR,18,25
441,01S3703W,FIR,6,5
442,01S3704NW,WESTERN LARCH,12,14
443,01S3704W,FIR,16,28
444,01S3705NW,PINE,40,54
445,01S3705W,FIR,12,29
446,01S3706NW,WESTERN LARCH,26,17
447,01S3707N,FIR,10,30
448,01S3707NW,PINE,7,7
449,01S3708N,FIR,8,23
450,01S3708NW,FIR,15,10
451,01S3708W,WESTERN LARCH,20,19
452,01S3709N,WESTERN LARCH,9,8
453,01S3709NW,FIR,15,40
454,01S3709W,FIR,5,14
455,01S3710N,FIR,9,174
456,01S3710NW,PINE,50,87
457,01S3710W,FIR,9,18
458,01S3711N,FIR,30,103
459,01S3711NW,FIR,10,11
460,01S3711W,FIR,36,91
461,01S3712N,WESTERN LARCH,10,35
462,01S3712NW,FIR,18,22
463,01S3712W,FIR,4,61
464,01S3713N,FIR,20,31
465,01S3713NW,FIR,4,68
466,01S3714N,FIR,15,12
467,01S3714NW,FIR,5,6
468,01S3714W,WESTERN LARCH,12,20
469,01S3715N,FIR,18,19
470,01S3715NW,FIR,24,144
471,01S3715W,FIR,4,13
472,01S3716N,PINE,18,18
473,01S3716NW,FIR,12,31
474,01S3716W,FIR,12,29
475,01S3717N,FIR,5,159
476,01S3718N,FIR,12,55
477,01S3718NW,PINE,28,66
478,01S3719N,WESTERN LARCH,15,90
479,01S3719NW,PINE,24,145
480,01S3720N,FIR,16,66
